Time,TrackTemp
0 days 00:15:44.766000,40.0
0 days 00:17:44.769000,40.4
0 days 00:18:44.792000,40.7
0 days 00:21:44.771000,41.4
0 days 00:22:44.795000,41.2
0 days 00:25:44.784000,41.4
0 days 00:26:44.813000,41.6
0 days 00:40:44.919000,42.4
0 days 00:42:44.963000,42.5
0 days 00:43:44.959000,42.7
0 days 00:46:45.005000,42.2
0 days 00:48:45.025000,43.0
0 days 01:04:45.132000,43.2
0 days 01:06:45.133000,43.7
0 days 01:07:45.160000,44.1
0 days 01:09:45.190000,44.4
0 days 01:10:45.199000,44.5
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:17:45.260000,44.0
0 days 00:15:44.766000,40.0
0 days 00:16:44.768000,40.4
0 days 00:18:44.792000,40.7
0 days 00:20:44.793000,41.5
0 days 00:21:44.771000,41.4
0 days 00:23:44.786000,41.4
0 days 00:24:44.785000,41.2
0 days 00:39:44.918000,42.4
0 days 00:41:44.935000,42.4
0 days 00:43:44.959000,42.7
0 days 00:45:44.968000,42.2
0 days 00:46:45.005000,42.2
0 days 01:03:45.132000,43.1
0 days 01:05:45.136000,43.2
0 days 01:07:45.160000,44.1
0 days 01:08:45.181000,44.3
0 days 01:10:45.199000,44.5
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:17:45.260000,44.0
0 days 00:15:44.766000,40.0
0 days 00:17:44.769000,40.4
0 days 00:18:44.792000,40.7
0 days 00:20:44.793000,41.5
0 days 00:21:44.771000,41.4
0 days 00:31:44.860000,41.8
0 days 00:40:44.919000,42.4
0 days 00:42:44.963000,42.5
0 days 00:43:44.959000,42.7
0 days 00:45:44.968000,42.2
0 days 00:46:45.005000,42.2
0 days 00:49:45.019000,42.5
0 days 00:50:45.053000,42.5
0 days 01:03:45.132000,43.1
0 days 01:05:45.136000,43.2
0 days 01:07:45.160000,44.1
0 days 01:09:45.190000,44.4
0 days 01:11:45.198000,44.4
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:16:45.239000,43.7
0 days 01:18:45.247000,44.0
0 days 00:15:44.766000,40.0
0 days 00:16:44.768000,40.4
0 days 00:18:44.792000,40.7
0 days 00:19:44.820000,41.4
0 days 00:21:44.771000,41.4
0 days 00:23:44.786000,41.4
0 days 00:25:44.784000,41.4
0 days 00:26:44.813000,41.6
0 days 00:29:44.848000,41.5
0 days 00:30:44.843000,41.7
0 days 00:32:44.866000,41.8
0 days 00:40:44.919000,42.4
0 days 00:42:44.963000,42.5
0 days 00:43:44.959000,42.7
0 days 00:44:44.984000,42.8
0 days 00:46:45.005000,42.2
0 days 01:04:45.132000,43.2
0 days 01:06:45.133000,43.7
0 days 01:07:45.160000,44.1
0 days 01:08:45.181000,44.3
0 days 01:11:45.198000,44.4
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:16:45.239000,43.7
0 days 01:18:45.247000,44.0
0 days 00:15:44.766000,40.0
0 days 00:17:44.769000,40.4
0 days 00:18:44.792000,40.7
0 days 00:19:44.820000,41.4
0 days 00:22:44.795000,41.2
0 days 00:23:44.786000,41.4
0 days 00:25:44.784000,41.4
0 days 00:26:44.813000,41.6
0 days 00:28:44.826000,41.3
0 days 00:30:44.843000,41.7
0 days 00:32:44.866000,41.8
0 days 01:03:45.132000,43.1
0 days 01:05:45.136000,43.2
0 days 01:06:45.133000,43.7
0 days 01:09:45.190000,44.4
0 days 01:10:45.199000,44.5
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:17:45.260000,44.0
0 days 00:15:44.766000,40.0
0 days 00:17:44.769000,40.4
0 days 00:18:44.792000,40.7
0 days 00:20:44.793000,41.5
0 days 00:21:44.771000,41.4
0 days 00:24:44.785000,41.2
0 days 00:25:44.784000,41.4
0 days 00:27:44.847000,41.3
0 days 00:29:44.848000,41.5
0 days 00:45:44.968000,42.2
0 days 00:47:45.015000,42.8
0 days 00:48:45.025000,43.0
0 days 00:51:45.067000,43.0
0 days 01:04:45.132000,43.2
0 days 01:06:45.133000,43.7
0 days 01:07:45.160000,44.1
0 days 01:09:45.190000,44.4
0 days 01:10:45.199000,44.5
0 days 01:11:45.198000,44.4
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:15:45.215000,44.0
0 days 01:18:45.247000,44.0
0 days 00:16:44.768000,40.4
0 days 00:18:44.792000,40.7
0 days 00:20:44.793000,41.5
0 days 00:21:44.771000,41.4
0 days 00:24:44.785000,41.2
0 days 00:25:44.784000,41.4
0 days 00:27:44.847000,41.3
0 days 00:29:44.848000,41.5
0 days 00:30:44.843000,41.7
0 days 00:42:44.963000,42.5
0 days 00:44:44.984000,42.8
0 days 00:46:45.005000,42.2
0 days 00:47:45.015000,42.8
0 days 00:49:45.019000,42.5
0 days 00:51:45.067000,43.0
0 days 01:04:45.132000,43.2
0 days 01:05:45.136000,43.2
0 days 01:07:45.160000,44.1
0 days 01:08:45.181000,44.3
0 days 01:10:45.199000,44.5
0 days 01:11:45.198000,44.4
0 days 01:12:45.197000,44.6
0 days 01:14:45.225000,44.3
0 days 01:15:45.215000,44.0
0 days 01:18:45.247000,44.0
0 days 00:16:44.768000,40.4
0 days 00:18:44.792000,40.7
0 days 00:20:44.793000,41.5
0 days 00:21:44.771000,41.4
0 days 00:23:44.786000,41.4
0 days 00:25:44.784000,41.4
0 days 00:26:44.813000,41.6
0 days 00:42:44.963000,42.5
0 days 00:43:44.959000,42.7
0 days 00:45:44.968000,42.2
0 days 00:47:45.015000,42.8
0 days 00:48:45.025000,43.0
0 days 00:50:45.053000,42.5
0 days 00:51:45.067000,43.0
0 days 01:05:45.136000,43.2
0 days 01:06:45.133000,43.7
0 days 01:08:45.181000,44.3
0 days 01:09:45.190000,44.4
0 days 01:11:45.198000,44.4
0 days 01:12:45.197000,44.6
0 days 01:14:45.225000,44.3
0 days 01:15:45.215000,44.0
0 days 01:18:45.247000,44.0
0 days 00:16:44.768000,40.4
0 days 00:17:44.769000,40.4
0 days 00:19:44.820000,41.4
0 days 00:21:44.771000,41.4
0 days 00:22:44.795000,41.2
0 days 00:24:44.785000,41.2
0 days 00:26:44.813000,41.6
0 days 00:39:44.918000,42.4
0 days 00:41:44.935000,42.4
0 days 00:42:44.963000,42.5
0 days 00:48:45.025000,43.0
0 days 00:50:45.053000,42.5
0 days 00:51:45.067000,43.0
0 days 01:04:45.132000,43.2
0 days 01:06:45.133000,43.7
0 days 01:08:45.181000,44.3
0 days 01:09:45.190000,44.4
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:16:45.239000,43.7
0 days 00:15:44.766000,40.0
0 days 00:17:44.769000,40.4
0 days 00:18:44.792000,40.7
0 days 00:20:44.793000,41.5
0 days 00:22:44.795000,41.2
0 days 00:24:44.785000,41.2
0 days 00:25:44.784000,41.4
0 days 00:43:44.959000,42.7
0 days 00:45:44.968000,42.2
0 days 00:46:45.005000,42.2
0 days 00:48:45.025000,43.0
0 days 00:50:45.053000,42.5
0 days 00:51:45.067000,43.0
0 days 01:06:45.133000,43.7
0 days 01:08:45.181000,44.3
0 days 01:09:45.190000,44.4
0 days 01:12:45.197000,44.6
0 days 01:14:45.225000,44.3
0 days 01:15:45.215000,44.0
0 days 01:18:45.247000,44.0
0 days 00:15:44.766000,40.0
0 days 00:17:44.769000,40.4
0 days 00:18:44.792000,40.7
0 days 00:21:44.771000,41.4
0 days 00:22:44.795000,41.2
0 days 00:25:44.784000,41.4
0 days 00:27:44.847000,41.3
0 days 00:28:44.826000,41.3
0 days 00:40:44.919000,42.4
0 days 00:41:44.935000,42.4
0 days 00:43:44.959000,42.7
0 days 00:44:44.984000,42.8
0 days 00:45:44.968000,42.2
0 days 00:51:45.067000,43.0
0 days 01:03:45.132000,43.1
0 days 01:05:45.136000,43.2
0 days 01:06:45.133000,43.7
0 days 01:08:45.181000,44.3
0 days 01:10:45.199000,44.5
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:15:45.215000,44.0
0 days 01:18:45.247000,44.0
0 days 00:22:44.795000,41.2
0 days 00:23:44.786000,41.4
0 days 00:25:44.784000,41.4
0 days 00:41:44.935000,42.4
0 days 00:43:44.959000,42.7
0 days 00:44:44.984000,42.8
0 days 00:46:45.005000,42.2
0 days 00:47:45.015000,42.8
0 days 00:49:45.019000,42.5
0 days 00:51:45.067000,43.0
0 days 01:04:45.132000,43.2
0 days 01:06:45.133000,43.7
0 days 01:07:45.160000,44.1
0 days 01:10:45.199000,44.5
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:15:45.215000,44.0
0 days 01:18:45.247000,44.0
0 days 00:14:44.782000,40.1
0 days 00:16:44.768000,40.4
0 days 00:19:44.820000,41.4
0 days 00:27:44.847000,41.3
0 days 00:29:44.848000,41.5
0 days 00:30:44.843000,41.7
0 days 00:33:44.877000,42.1
0 days 00:41:44.935000,42.4
0 days 00:42:44.963000,42.5
0 days 00:44:44.984000,42.8
0 days 01:04:45.132000,43.2
0 days 01:06:45.133000,43.7
0 days 01:07:45.160000,44.1
0 days 01:09:45.190000,44.4
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:15:45.215000,44.0
0 days 01:17:45.260000,44.0
0 days 00:16:44.768000,40.4
0 days 00:17:44.769000,40.4
0 days 00:19:44.820000,41.4
0 days 00:21:44.771000,41.4
0 days 00:22:44.795000,41.2
0 days 00:25:44.784000,41.4
0 days 00:26:44.813000,41.6
0 days 00:28:44.826000,41.3
0 days 00:30:44.843000,41.7
0 days 00:32:44.866000,41.8
0 days 00:46:45.005000,42.2
0 days 00:48:45.025000,43.0
0 days 00:49:45.019000,42.5
0 days 00:51:45.067000,43.0
0 days 01:04:45.132000,43.2
0 days 01:06:45.133000,43.7
0 days 01:07:45.160000,44.1
0 days 01:09:45.190000,44.4
0 days 01:11:45.198000,44.4
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:17:45.260000,44.0
0 days 00:18:44.792000,40.7
0 days 00:21:44.771000,41.4
0 days 00:22:44.795000,41.2
0 days 00:24:44.785000,41.2
0 days 00:25:44.784000,41.4
0 days 00:27:44.847000,41.3
0 days 00:29:44.848000,41.5
0 days 00:48:45.025000,43.0
0 days 00:50:45.053000,42.5
0 days 00:51:45.067000,43.0
0 days 01:09:45.190000,44.4
0 days 01:11:45.198000,44.4
0 days 01:12:45.197000,44.6
0 days 01:14:45.225000,44.3
0 days 01:15:45.215000,44.0
0 days 01:18:45.247000,44.0
0 days 00:15:44.766000,40.0
0 days 00:17:44.769000,40.4
0 days 00:19:44.820000,41.4
0 days 00:20:44.793000,41.5
0 days 00:22:44.795000,41.2
0 days 00:24:44.785000,41.2
0 days 00:25:44.784000,41.4
0 days 00:39:44.918000,42.4
0 days 00:41:44.935000,42.4
0 days 00:43:44.959000,42.7
0 days 00:51:45.067000,43.0
0 days 01:04:45.132000,43.2
0 days 01:05:45.136000,43.2
0 days 01:07:45.160000,44.1
0 days 01:09:45.190000,44.4
0 days 01:10:45.199000,44.5
0 days 01:12:45.197000,44.6
0 days 01:14:45.225000,44.3
0 days 01:15:45.215000,44.0
0 days 01:17:45.260000,44.0
0 days 00:18:44.792000,40.7
0 days 00:19:44.820000,41.4
0 days 00:21:44.771000,41.4
0 days 00:23:44.786000,41.4
0 days 00:24:44.785000,41.2
0 days 00:26:44.813000,41.6
0 days 00:28:44.826000,41.3
0 days 00:30:44.843000,41.7
0 days 00:31:44.860000,41.8
0 days 00:43:44.959000,42.7
0 days 00:45:44.968000,42.2
0 days 00:46:45.005000,42.2
0 days 00:48:45.025000,43.0
0 days 00:50:45.053000,42.5
0 days 00:51:45.067000,43.0
0 days 01:04:45.132000,43.2
0 days 01:06:45.133000,43.7
0 days 01:07:45.160000,44.1
0 days 01:09:45.190000,44.4
0 days 01:10:45.199000,44.5
0 days 01:11:45.198000,44.4
0 days 01:13:45.199000,44.3
0 days 01:14:45.225000,44.3
0 days 01:16:45.239000,43.7
0 days 01:18:45.247000,44.0
0 days 00:16:44.768000,40.4
0 days 00:18:44.792000,40.7
0 days 00:19:44.820000,41.4
0 days 00:21:44.771000,41.4
0 days 00:23:44.786000,41.4
0 days 00:24:44.785000,41.2
0 days 00:26:44.813000,41.6
0 days 00:28:44.826000,41.3
0 days 00:30:44.843000,41.7
0 days 00:32:44.866000,41.8
0 days 00:42:44.963000,42.5
0 days 00:44:44.984000,42.8
0 days 00:45:44.968000,42.2
0 days 00:48:45.025000,43.0
0 days 00:49:45.019000,42.5
0 days 00:51:45.067000,43.0
0 days 01:03:45.132000,43.1
0 days 01:05:45.136000,43.2
0 days 01:06:45.133000,43.7
0 days 01:08:45.181000,44.3
0 days 01:09:45.190000,44.4
0 days 01:10:45.199000,44.5
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:15:45.215000,44.0
0 days 01:18:45.247000,44.0
0 days 00:16:44.768000,40.4
0 days 00:18:44.792000,40.7
0 days 00:19:44.820000,41.4
0 days 00:21:44.771000,41.4
0 days 00:22:44.795000,41.2
0 days 00:32:44.866000,41.8
0 days 00:39:44.918000,42.4
0 days 00:41:44.935000,42.4
0 days 00:42:44.963000,42.5
0 days 00:44:44.984000,42.8
0 days 00:45:44.968000,42.2
0 days 01:03:45.132000,43.1
0 days 01:05:45.136000,43.2
0 days 01:06:45.133000,43.7
0 days 01:09:45.190000,44.4
0 days 01:11:45.198000,44.4
0 days 01:12:45.197000,44.6
0 days 01:13:45.199000,44.3
0 days 01:15:45.215000,44.0
0 days 01:17:45.260000,44.0
0 days 00:16:44.768000,40.4
0 days 00:18:44.792000,40.7
0 days 00:19:44.820000,41.4
0 days 00:20:44.793000,41.5
0 days 00:22:44.795000,41.2
0 days 00:24:44.785000,41.2
0 days 00:26:44.813000,41.6
0 days 00:27:44.847000,41.3
0 days 00:29:44.848000,41.5
0 days 00:31:44.860000,41.8
0 days 00:49:45.019000,42.5
0 days 00:51:45.067000,43.0
